id,pred
4_0387_2019-01-28.jpg_7_clsnn0000100000d,0.13073012
4_0393_2019-01-28.jpg_0_clsnn0011101000d,0.8770931
4_0393_2019-01-28.jpg_1_clsnn0100000000d,0.08146679
4_0393_2019-01-28.jpg_2_clsnn1000100000d,0.27131248
4_0393_2019-01-28.jpg_3_clsnn0011100000d,0.7011922
4_0393_2019-01-28.jpg_4_clsnn0011101000d,0.90829754
4_0393_2019-01-28.jpg_5_clsnn0011100000d,0.19998652
4_0393_2019-01-28.jpg_6_clsnn0000000100d,0.32549685
4_0393_2019-01-28.jpg_7_clsnn0011000000d,0.14572453
4_0393_2019-01-28.jpg_8_clsnn0011100000d,0.9077538
4_0393_2019-01-28.jpg_9_clsnn1000100000d,0.6282235
4_0399_2019-01-28.jpg_0_clsnn0011101000d,0.80044174
4_0399_2019-01-28.jpg_1_clsnn0011000000d,0.2687889
4_0399_2019-01-28.jpg_2_clsnn1000100100d,0.13786267
4_0399_2019-01-28.jpg_3_clsnn0011100000d,0.28464448
4_0399_2019-01-28.jpg_4_clsnn0011101000d,0.50720644
4_0399_2019-01-28.jpg_5_clsnn0000100100d,0.35891923
4_0399_2019-01-28.jpg_6_clsnn0011101000d,0.9173687
4_0399_2019-01-28.jpg_7_clsnn0011101000d,0.92839026
4_0399_2019-01-28.jpg_8_clsnn1000000000d,0.036088258
4_0405_2019-01-28.jpg_0_clsnn0011100000d,0.13729411
4_0405_2019-01-28.jpg_10_clsnn0000100100d,0.22265273
4_0405_2019-01-28.jpg_11_clsnn1000000100d,0.07081362
4_0405_2019-01-28.jpg_1_clsnn0011101000d,0.91518027
4_0405_2019-01-28.jpg_2_clsnn0011101000d,0.8087662
4_0405_2019-01-28.jpg_3_clsnn0011101000d,0.4775415
4_0405_2019-01-28.jpg_4_clsnn0010000000d,0.5469738
4_0405_2019-01-28.jpg_5_clsnn0011000000d,0.2126979
4_0405_2019-01-28.jpg_6_clsnn0011101000d,0.8107444
4_0405_2019-01-28.jpg_7_clsnn0011101000d,0.7849604
4_0405_2019-01-28.jpg_8_clsnn1000000000d,0.036383245
4_0405_2019-01-28.jpg_9_clsnn1000100100d,0.37099665
4_0411_2019-01-28.jpg_0_clsnn0011101000d,0.8920867
4_0411_2019-01-28.jpg_1_clsnn0011101000d,0.5400845
4_0411_2019-01-28.jpg_2_clsnn0001000000d,0.19936058
4_0411_2019-01-28.jpg_3_clsnn1000100100d,0.6256699
4_0411_2019-01-28.jpg_4_clsnn0011101000d,0.6010459
4_0411_2019-01-28.jpg_5_clsnn1000100000d,0.561542
4_0411_2019-01-28.jpg_6_clsnn0011100000d,0.6194701
4_0411_2019-01-28.jpg_7_clsnn0100000000d,0.36159644
4_0411_2019-01-28.jpg_8_clsnn0011101000d,0.6110419
4_0411_2019-01-28.jpg_9_clsnn1000000000d,0.27726707
4_0417_2019-01-28.jpg_0_clsnn0011101000d,0.5485343
4_0417_2019-01-28.jpg_1_clsnn0011101000d,0.7097785
4_0417_2019-01-28.jpg_2_clsnn0011101000d,0.44692892
4_0417_2019-01-28.jpg_3_clsnn1000000000d,0.26606193
4_0417_2019-01-28.jpg_4_clsnn1000100000d,0.8307215
4_0417_2019-01-28.jpg_5_clsnn0011101000d,0.888609
4_0417_2019-01-28.jpg_6_clsnn0011001000d,0.26928118
4_0417_2019-01-28.jpg_7_clsnn0100000000d,0.18258649
4_0417_2019-01-28.jpg_8_clsnn1000100000d,0.7547834
4_0417_2019-01-28.jpg_9_clsnn0001000000d,0.14868876
4_0423_2019-01-28.jpg_0_clsnn0011101000d,0.51686597
4_0423_2019-01-28.jpg_10_clsnn0010000000d,0.40024814
4_0423_2019-01-28.jpg_1_clsnn0011101000d,0.9002459
4_0423_2019-01-28.jpg_2_clsnn1000100100d,0.51883745
4_0423_2019-01-28.jpg_3_clsnn0011101000d,0.908084
4_0423_2019-01-28.jpg_4_clsnn1000100100d,0.13673338
4_0423_2019-01-28.jpg_5_clsnn0011101000d,0.66513443
4_0423_2019-01-28.jpg_6_clsnn1000000000d,0.17035908
4_0423_2019-01-28.jpg_7_clsnn0011001000d,0.07681806
4_0423_2019-01-28.jpg_8_clsnn1000000000d,0.27733076
4_0423_2019-01-28.jpg_9_clsnn0001000000d,0.38736755
4_0429_2019-01-28.jpg_0_clsnn0011101000d,0.7125997
4_0429_2019-01-28.jpg_1_clsnn0011101000d,0.8439904
4_0429_2019-01-28.jpg_2_clsnn0011101000d,0.90419346
4_0429_2019-01-28.jpg_3_clsnn0011101000d,0.56107676
4_0429_2019-01-28.jpg_4_clsnn0100000100d,0.110700294
4_0429_2019-01-28.jpg_5_clsnn1000100100d,0.35152212
4_0429_2019-01-28.jpg_6_clsnn0010000000d,0.68970335
4_0429_2019-01-28.jpg_7_clsnn0100000000d,0.17850275
4_0429_2019-01-28.jpg_8_clsnn0001000000d,0.12518613
4_0429_2019-01-28.jpg_9_clsnn1000100000d,0.7662949
4_0435_2019-01-28.jpg_0_clsnn0011101000d,0.6381853
4_0435_2019-01-28.jpg_1_clsnn0011001000d,0.059514016
4_0435_2019-01-28.jpg_2_clsnn0011101000d,0.84194565
4_0435_2019-01-28.jpg_3_clsnn0011101000d,0.92533714
4_0435_2019-01-28.jpg_4_clsnn0011001000d,0.4884892
4_0435_2019-01-28.jpg_5_clsnn1000000100d,0.105623886
4_0435_2019-01-28.jpg_6_clsnn0001000000d,0.3653676
4_0435_2019-01-28.jpg_7_clsnn1000000000d,0.46167836
4_0441_2019-01-28.jpg_0_clsnn1000000100d,0.28648767
4_0441_2019-01-28.jpg_1_clsnn0011101000d,0.8148673
4_0441_2019-01-28.jpg_2_clsnn0011101000d,0.5335569
4_0441_2019-01-28.jpg_3_clsnn0011101000d,0.9138138
4_0441_2019-01-28.jpg_4_clsnn0001000000d,0.16754648
4_0441_2019-01-28.jpg_5_clsnn0011101000d,0.6278967
4_0441_2019-01-28.jpg_6_clsnn0011001000d,0.107419014
4_0441_2019-01-28.jpg_7_clsnn0100100000d,0.36471134
4_0441_2019-01-28.jpg_8_clsnn0010000000d,0.60438395
4_0447_2019-01-28.jpg_0_clsnn0010100000d,0.15055119
4_0447_2019-01-28.jpg_10_clsnn1001000000d,0.051251996
4_0447_2019-01-28.jpg_1_clsnn1000100000d,0.1677943
4_0447_2019-01-28.jpg_2_clsnn0011100000d,0.7393763
4_0447_2019-01-28.jpg_3_clsnn0011100000d,0.5020842
4_0447_2019-01-28.jpg_4_clsnn1000100000d,0.6868894
4_0447_2019-01-28.jpg_5_clsnn0011100000d,0.9106909
4_0447_2019-01-28.jpg_6_clsnn0010100010d,0.6237547
4_0447_2019-01-28.jpg_7_clsnn0011000000d,0.05505792
4_0447_2019-01-28.jpg_8_clsnn0011100000d,0.8600625
4_0447_2019-01-28.jpg_9_clsnn0001000000d,0.33712557
4_0453_2019-01-28.jpg_0_clsnn0011101000d,0.5322804
4_0453_2019-01-28.jpg_1_clsnn0011101000d,0.6407426
4_0453_2019-01-28.jpg_2_clsnn0011001000d,0.14216417
4_0453_2019-01-28.jpg_3_clsnn0011101000d,0.9695396
4_0453_2019-01-28.jpg_4_clsnn0011000000d,0.22749084
4_0453_2019-01-28.jpg_5_clsnn0000100000d,0.10878006
4_0453_2019-01-28.jpg_6_clsnn0100000000d,0.054529212
4_0453_2019-01-28.jpg_7_clsnn1000100100d,0.5763912
4_0453_2019-01-28.jpg_8_clsnn0011101000d,0.8524975
4_0453_2019-01-28.jpg_9_clsnn0010000000d,0.5076911
4_0459_2019-01-28.jpg_0_clsnn0011100000d,0.6404534
4_0459_2019-01-28.jpg_1_clsnn0011000000d,0.3484245
4_0459_2019-01-28.jpg_2_clsnn0011000000d,0.07327959
4_0459_2019-01-28.jpg_3_clsnn0011100000d,0.89810354
4_0459_2019-01-28.jpg_4_clsnn0010100000d,0.10916184
4_0459_2019-01-28.jpg_5_clsnn1001000000d,0.024210667
4_0459_2019-01-28.jpg_6_clsnn0011100000d,0.5655571
4_0459_2019-01-28.jpg_7_clsnn0010101000d,0.50079083
4_0459_2019-01-28.jpg_8_clsnn0001100000d,0.8058329
4_0459_2019-01-28.jpg_9_clsnn1000000000d,0.3091539
4_0465_2019-01-28.jpg_0_clsnn0010101010d,0.20010255
4_0465_2019-01-28.jpg_1_clsnn0011100000d,0.8083609
4_0465_2019-01-28.jpg_2_clsnn0010100000d,0.036313172
4_0465_2019-01-28.jpg_3_clsnn0011000000d,0.1483417
4_0465_2019-01-28.jpg_4_clsnn1001000000d,0.12394753
4_0465_2019-01-28.jpg_5_clsnn0011100000d,0.875687
4_0465_2019-01-28.jpg_6_clsnn0011100000d,0.44021857
4_0465_2019-01-28.jpg_7_clsnn0001000000d,0.036264915
